iter	Passed	Remaining
470	694	780
471	696	778
472	697	777
473	698	775
474	699	772
475	700	771
476	701	769
477	702	767
478	703	765
479	705	763
480	706	761
481	708	761
482	709	759
483	710	757
484	711	756
485	713	754
486	714	752
487	715	750
488	716	748
489	717	746
490	718	744
491	719	742
492	720	741
493	721	739
494	723	737
495	724	735
496	725	734
497	726	732
498	727	730
499	728	728
500	729	727
501	730	725
502	731	723
503	732	721
504	733	719
505	735	717
506	735	715
507	736	713
508	737	711
509	739	710
510	740	708
511	741	706
512	742	704
513	743	703
514	744	701
515	745	699
516	747	697
517	748	696
518	749	694
519	750	692
520	751	690
521	752	688
522	753	687
523	754	685
524	755	683
525	756	682
526	757	680
527	758	678
528	760	676
529	761	675
530	762	673
531	763	671
532	764	670
533	765	668
534	767	666
535	768	664
536	769	663
537	770	661
538	771	659
539	772	658
540	773	656
541	774	654
542	775	652
543	776	651
544	777	649
545	779	647
546	780	646
547	781	644
548	782	642
549	783	641
550	784	639
551	786	638
552	787	636
553	788	634
554	789	632
555	790	631
556	792	629
557	793	628
558	793	626
559	794	624
560	795	622
561	797	621
562	798	619
563	799	618
564	800	616
565	801	614
566	802	613
567	803	611
568	805	609
569	806	608
570	807	606
571	808	604
572	809	603
573	810	601
574	811	599
575	812	597
576	813	596
577	814	595
578	815	593
579	817	591
580	818	589
581	819	588
582	820	586
583	821	584
584	822	583
585	823	581
586	824	579
587	825	578
588	826	576
589	827	574
590	828	573
591	830	572
592	831	570
593	832	569
594	833	567
595	834	565
596	835	564
597	836	562
598	837	560
599	839	559
600	840	557
601	841	556
602	842	554
603	843	553
604	846	552
605	847	550
606	848	549
607	849	547
608	850	545
609	851	544
610	852	542
611	853	541
612	854	539
613	855	538
614	856	536
615	858	534
616	859	533
617	860	532
618	861	530
619	863	528
620	864	527
621	865	525
622	866	524
623	867	522
624	868	521
625	869	519
626	870	517
627	871	516
628	872	514
629	874	513
630	875	511
631	876	510
632	877	508
633	878	507
634	879	505
635	880	504
636	882	502
637	883	501
638	884	499
639	885	497
640	886	496
641	887	494
642	888	493
643	890	492
644	891	490
645	892	488
646	893	487
647	894	486
648	895	484
649	896	482
650	897	481
651	898	479
652	900	478
653	901	476
654	902	475
655	903	473
656	904	472
657	906	470
658	907	469
659	908	467
660	909	466
661	910	464
662	911	463
663	912	461
664	913	460
665	914	458
666	916	457
667	917	455
668	918	454
669	919	453
670	920	451
671	921	449
672	923	448
673	924	447
674	925	445
675	926	443
676	927	442
677	928	440
678	929	439
679	930	437
680	931	436
681	933	435
682	934	433
683	935	432
684	936	430
685	937	429
686	938	427
687	939	426
688	940	424
689	941	423
690	942	421
691	944	420
692	945	418
693	946	417
694	947	415
695	948	414
696	950	413
697	951	411
698	952	409
699	953	408
700	954	407
701	955	405
702	956	404
703	957	402
704	958	401
705	959	399
706	960	398
707	962	396
708	963	395
709	964	394
710	965	392
711	966	391
712	968	389
713	969	388
714	970	386
715	971	385
716	972	383
717	974	382
718	975	381
719	976	379
720	977	378
721	978	376
722	980	375
723	981	374
724	982	372
725	983	371
726	984	369
727	985	368
728	986	366
729	987	365
730	989	363
731	990	362
732	991	361
733	992	359
734	993	358
735	994	356
736	996	355
737	997	354
738	998	352
739	999	351
740	1000	349
741	1001	348
742	1002	346
743	1003	345
744	1005	344
745	1006	342
746	1007	341
747	1008	339
748	1010	338
749	1011	337
750	1012	335
751	1013	334
752	1014	332
753	1016	331
754	1017	330
755	1018	328
756	1019	327
757	1020	325
758	1022	324
759	1023	323
760	1024	321
761	1025	320
762	1027	319
763	1028	317
764	1029	316
765	1030	314
766	1031	313
767	1032	312
768	1033	310
769	1035	309
770	1036	307
771	1037	306
772	1038	305
773	1039	303
774	1040	302
775	1042	300
776	1043	299
777	1044	298
778	1045	296
779	1046	295
780	1047	293
781	1048	292
782	1049	290
783	1050	289
784	1052	288
785	1053	286
786	1054	285
787	1055	284
788	1056	282
789	1058	281
790	1059	279
791	1060	278
792	1061	277
793	1062	275
794	1063	274
795	1064	272
796	1065	271
797	1067	270
798	1068	268
799	1069	267
800	1070	266
801	1071	264
802	1073	263
803	1074	261
804	1075	260
805	1076	259
806	1077	257
807	1078	256
808	1079	254
809	1080	253
810	1081	251
811	1082	250
812	1083	249
813	1085	247
814	1086	246
815	1087	245
816	1088	243
817	1089	242
818	1090	241
819	1092	239
820	1093	238
821	1094	236
822	1095	235
823	1096	234
824	1098	232
825	1099	231
826	1100	230
827	1101	228
828	1102	227
829	1103	226
830	1105	224
831	1106	223
832	1107	221
833	1108	220
834	1109	219
835	1110	217
836	1111	216
837	1113	215
838	1114	213
839	1115	212
840	1116	211
841	1117	209
842	1119	208
843	1120	207
844	1121	205
845	1122	204
846	1123	202
847	1124	201
848	1125	200
849	1126	198
850	1127	197
851	1129	196
852	1130	194
853	1131	193
854	1132	192
855	1133	190
856	1134	189
857	1135	187
858	1136	186
859	1137	185
860	1139	183
861	1140	182
862	1141	181
863	1142	179
864	1144	178
865	1145	177
866	1146	175
867	1147	174
868	1148	173
869	1149	171
870	1150	170
871	1151	169
872	1152	167
873	1154	166
874	1155	165
875	1156	163
876	1157	162
877	1158	161
878	1159	159
879	1160	158
880	1161	156
881	1162	155
882	1163	154
883	1165	152
884	1166	151
885	1167	150
886	1168	148
887	1169	147
888	1170	146
889	1172	144
890	1173	143
891	1174	142
892	1175	140
893	1176	139
894	1178	138
895	1179	136
896	1180	135
897	1181	134
898	1182	132
899	1183	131
900	1184	130
901	1186	128
902	1187	127
903	1188	126
904	1189	124
905	1191	123
906	1192	122
907	1193	120
908	1194	119
909	1195	118
910	1196	116
911	1198	115
912	1199	114
913	1200	112
914	1201	111
915	1202	110
916	1203	108
917	1205	107
918	1206	106
919	1207	104
920	1208	103
921	1209	102
922	1210	101
923	1211	99
924	1213	98
925	1214	97
926	1215	95
927	1216	94
928	1217	93
929	1219	91
930	1220	90
931	1221	89
932	1222	87
933	1223	86
934	1224	85
935	1226	83
936	1227	82
937	1228	81
938	1229	79
939	1230	78
940	1231	77
941	1233	75
942	1234	74
943	1235	73
944	1236	71
945	1237	70
946	1238	69
947	1239	67
948	1240	66
949	1241	65
950	1242	64
951	1243	62
952	1244	61
953	1246	60
954	1247	58
955	1248	57
956	1250	56
957	1250	54
958	1252	53
959	1254	52
960	1255	50
961	1256	49
962	1257	48
963	1258	47
964	1260	45
965	1261	44
966	1263	43
967	1264	41
968	1265	40
969	1266	39
970	1267	37
971	1269	36
972	1270	35
973	1271	33
974	1272	32
975	1273	31
976	1274	30
977	1275	28
978	1276	27
979	1277	26
980	1278	24
981	1280	23
982	1281	22
983	1282	20
984	1283	19
985	1284	18
986	1285	16
987	1286	15
988	1287	14
989	1288	13
990	1289	11
991	1290	10
992	1291	9
993	1292	7
994	1293	6
995	1294	5
996	1295	3
997	1296	2
998	1297	1
999	1298	0
